スレ数,ID,コメント,投稿時刻
162,ID:69RG2Gnx01111,>>152  まじめに考えると、ガンジャ隊が6層5層往復した時に  白笛持ってたなれ果てちゃんの姿が変わってなかったのと  6層に連れてこられたミーティも同様だったのとを考えると  打ち上げられても、いいにおいのふわふわのままだと思うのである,2018/11/11 12:02:25
163,ID:fNST/PO3a1111,リコさんの体全身使えばナナチとミーティダース単位で複製できそう,2018/11/11 12:02:59
164,ID:SaFzrs1401111,>>115  ｼｬｱﾝちゃんは！そんなこと言わない！,2018/11/11 12:06:12
165,ID:kh4qvkgI01111,ナナチはミーティと違って人間性を残しているので  6層から打ち上げられたら普通に人間性を喪失するのでは？,2018/11/11 12:11:44
166,ID:us8i2uUa01111,気になるから試すそす,2018/11/11 12:14:42
167,ID:SaFzrs1401111,死ぬ可能性もありそうで怖い,2018/11/11 12:20:19
168,ID:fNST/PO3a1111,6層負荷で死ぬのって  体から人間性失う過程で心臓とか肺とか脳とか加工されるのに耐えきれずお陀仏パターンかな,2018/11/11 12:28:04
169,ID:b/RD4KEB01111,その場合加工済みのナナチや祝福ボ卿は死なないな。  通常なれ果てはミーティのような自我ないモニャモニャになるイメージあるからあんまり移動するイメージないけど前に言われてたなれ果て見つけたら殺すのが暗黙の了解云々って話からしても実は正規ルートで自我保ててなれ果てて帰りたくて地上目指す奴とかもいたんかな…  そして道中で自我保てても言葉を発せなくて探窟家に始末される…,2018/11/11 12:43:09
170,ID:2R/lg9v/01111,全然違うのに一瞬ボンドルドと読んでしまった  https://i.imgur.com/Dd88XgC.jpg,2018/11/11 15:11:19
171,ID:nTmBs8dM01111,「肉」だとか「カ＊バル」だとか  精神的な圧をかけてくるお店ですね・・・,2018/11/11 15:34:22
172,ID:z7UR+roU01111,ボが入っていて5文字ならもう大体ボンドルドみたいなもんだろ（適当）,2018/11/11 15:37:43
173,ID:tWyJxdvwd1111,ボクシング卿,2018/11/11 15:50:07
174,ID:4t94ydNL01111,がぶ飲みカツ？やっぱりとんかつは飲み物。だったんやね…,2018/11/11 16:25:42
175,ID:Pjne+UL901111,なんかつくし一瞬生放送してたみたいっすね,2018/11/11 16:33:17
176,ID:uqafHhjZp1111,ポーツマス卿,2018/11/11 16:36:44
177,ID:kifaJd3d01111,ボツリヌス卿,2018/11/11 16:46:56
178,ID:hNHqPw3V01111,ボロクソボ卿,2018/11/11 16:49:35
179,ID:x1cvpFIV01111,ボンオドリ卿,2018/11/11 16:54:22
180,ID:4t94ydNL01111,ボヘミアン卿,2018/11/11 16:58:26
181,ID:OMz+5nka01111,ボンバルディア卿,2018/11/11 16:58:47
182,ID:J9DDByNYd1111,ボンファイヤリット卿,2018/11/11 17:00:09
183,ID:/A/tx3BAM1111,ボルボックス卿,2018/11/11 17:13:20
184,ID:qtR6pTBFp1111,この流れ...やはり2000年ループ説...,2018/11/11 17:14:48
185,ID:ljUO2rNv01111,もうLPLと統合しちゃおう,2018/11/11 17:31:23
186,ID:ljUO2rNv01111,すまん誤爆,2018/11/11 17:33:06
187,ID:2Z5+wADf01111,プルシュカこすったら動いちゃった･･･,2018/11/11 17:33:21
188,ID:EYshINPHd1111,こすっても良いがすこっていけ,2018/11/11 19:11:47
189,ID:hNHqPw3V01111,ナナチをディズニーシーに連れてってタワーオブテラーのせたい,2018/11/11 19:18:01
190,ID:Pjne+UL901111,落ちてる時は平気だけど登ってる時に泡吹いて気絶しそう,2018/11/11 19:34:12
191,ID:qtR6pTBFp1111,奇しくも同じ森川,2018/11/11 19:44:42
192,ID:vouqyZmXM1111,奇しくもじゃなくてそこ狙ってるだろ,2018/11/11 19:48:15
193,ID:WkzwZKQHD1111,ボンボルドラプソディー,2018/11/11 19:49:40
194,ID:NUBbN9Fx01111,>>143  そでのオナホ断面図って何？電子版には載ってないなか見たことないわ。,2018/11/11 21:23:46
195,ID:kxzYlwlO01111,そでのキャラモチーフの断面図だぞ,2018/11/11 21:26:05
